Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Slovak Republic,SVK,High income,Europe & Central Asia,Europe,1.11,5431752,10.4,56490.2208,70.04787379,62.70414509
Slovenia,SVN,High income,Europe & Central Asia,Europe,1.11,2111986,9,19007.874,23.56976376,21.09874014
Solomon Islands,SLB,Lower middle income,East Asia & Pacific,Western Pacific,0.86,724273,29.785,21572.47131,26.74986442,18.55232532
Somalia,SOM,Low income,Sub-Saharan Africa,Eastern Mediterranean,1.18,17597511,43.561,766565.1767,950.5408191,904.5469085
South Africa,ZAF,Upper middle income,Sub-Saharan Africa,Africa,1.31,59893885,19.821,1187156.695,1472.074301,1555.17527
South Sudan,SSD,Low income,Sub-Saharan Africa,Africa,1.31,10913164,29.107,317649.4645,393.885336,416.1207986
Spain,ESP,High income,Europe & Central Asia,Europe,1.11,47778340,7.1,339226.214,420.6405054,376.5410975
Sri Lanka,LKA,Lower middle income,South Asia,South-East Asia,1.8,22181000,14.019,310955.439,385.5847444,559.7197902
St. Kitts and Nevis,KNA,High income,Latin America & Caribbean,South-East Asia,1.8,47657,12.125,577.841125,0.716522995,1.040114025
St. Lucia,LCA,Upper middle income,Latin America & Caribbean,South-East Asia,1.8,179857,11.49,2066.55693,2.562530593,3.719802474
St. Martin (French part),MAF,High income,Latin America & Caribbean,South-East Asia,1.8,31791,15.053,478.549923,0.593401905,0.861389861
St. Vincent and the Grenadines,VCT,Upper middle income,Latin America & Caribbean,South-East Asia,1.8,103948,12.901,1341.033148,1.662881104,2.413859666
Sudan,SDN,Low income,Sub-Saharan Africa,Eastern Mediterranean,1.18,46874204,33.596,1574785.758,1952.734339,1858.247194
Suriname,SUR,Upper middle income,Latin America & Caribbean,Americas,1.14,618040,18.154,11219.89816,13.91267372,12.7906839
Sweden,SWE,High income,Europe & Central Asia,Europe,1.11,10486941,11,115356.351,143.0418752,128.0455496
Switzerland,CHE,High income,Europe & Central Asia,Europe,1.11,8775760,10.3,90390.328,112.0840067,100.3332641
